"Year","Sex","agegroup","UF","pop"
2010,"f","0-4","Acre",44247
2010,"f","0-4","Alagoas",143317
2010,"f","0-4","Amapa",38656
2010,"f","0-4","Amazonas",196099
2010,"f","0-4","Bahia",554643
2010,"f","0-4","Ceara",334635
2010,"f","0-4","Distrito Federal",103252
2010,"f","0-4","Espirito Santo",130286
2010,"f","0-4","Goias",224390
2010,"f","0-4","Maranhao",331759
2010,"f","0-4","Mato Grosso",130292
2010,"f","0-4","Mato Grosso Do Sul",98402
2010,"f","0-4","Minas Gerais",653924
2010,"f","0-4","Para",390266
2010,"f","0-4","Paraiba",148346
2010,"f","0-4","Parana",369726
2010,"f","0-4","Pernambuco",362032
2010,"f","0-4","Piaui",129121
2010,"f","0-4","Rio De Janeiro",518454
2010,"f","0-4","Rio Grande Do Norte",126158
2010,"f","0-4","Rio Grande Do Sul",333383
2010,"f","0-4","Rondonia",66693
2010,"f","0-4","Roraima",24744
2010,"f","0-4","Santa Catarina",208917
2010,"f","0-4","Sao Paulo",1450034
2010,"f","0-4","Sergipe",87683
2010,"f","0-4","Tocantins",64305
2010,"f","10-14","Acre",43810.9999999999
2010,"f","10-14","Alagoas",169497
2010,"f","10-14","Amapa",39772
2010,"f","10-14","Amazonas",199718
2010,"f","10-14","Bahia",667016
2010,"f","10-14","Ceara",421816
2010,"f","10-14","Distrito Federal",109517
2010,"f","10-14","Espirito Santo",150783
2010,"f","10-14","Goias",264349
2010,"f","10-14","Maranhao",362435
2010,"f","10-14","Mato Grosso",139190
2010,"f","10-14","Mato Grosso Do Sul",110571
2010,"f","10-14","Minas Gerais",841335
2010,"f","10-14","Para",415995
2010,"f","10-14","Paraiba",173837
2010,"f","10-14","Parana",451529
2010,"f","10-14","Pernambuco",417573
2010,"f","10-14","Piaui",154046
2010,"f","10-14","Rio De Janeiro",651303
2010,"f","10-14","Rio Grande Do Norte",145957
2010,"f","10-14","Rio Grande Do Sul",429001
2010,"f","10-14","Rondonia",77624
2010,"f","10-14","Roraima",25901
2010,"f","10-14","Santa Catarina",258152
2010,"f","10-14","Sao Paulo",1658952
2010,"f","10-14","Sergipe",103642
2010,"f","10-14","Tocantins",71395
2010,"f","15-19","Acre",39034
2010,"f","15-19","Alagoas",158690
2010,"f","15-19","Amapa",37169
2010,"f","15-19","Amazonas",184355
2010,"f","15-19","Bahia",667955
2010,"f","15-19","Ceara",427108
2010,"f","15-19","Distrito Federal",113408
2010,"f","15-19","Espirito Santo",152014
2010,"f","15-19","Goias",268523
2010,"f","15-19","Maranhao",343849
2010,"f","15-19","Mato Grosso",141913
2010,"f","15-19","Mato Grosso Do Sul",113365
2010,"f","15-19","Minas Gerais",862826
2010,"f","15-19","Para",395307
2010,"f","15-19","Paraiba",177642
2010,"f","15-19","Parana",465059
2010,"f","15-19","Pernambuco",411631
2010,"f","15-19","Piaui",152009
2010,"f","15-19","Rio De Janeiro",640486
2010,"f","15-19","Rio Grande Do Norte",149374
2010,"f","15-19","Rio Grande Do Sul",439319
2010,"f","15-19","Rondonia",78212
2010,"f","15-19","Roraima",23533
2010,"f","15-19","Santa Catarina",272503
2010,"f","15-19","Sao Paulo",1658279
2010,"f","15-19","Sergipe",102198
2010,"f","15-19","Tocantins",69489
2010,"f","20-24","Acre",35595
2010,"f","20-24","Alagoas",151283
2010,"f","20-24","Amapa",34914
2010,"f","20-24","Amazonas",171587
2010,"f","20-24","Bahia",666300
2010,"f","20-24","Ceara",421968
2010,"f","20-24","Distrito Federal",127050
2010,"f","20-24","Espirito Santo",162691
2010,"f","20-24","Goias",278422
2010,"f","20-24","Maranhao",334432
2010,"f","20-24","Mato Grosso",142237
2010,"f","20-24","Mato Grosso Do Sul",110108
2010,"f","20-24","Minas Gerais",871071
2010,"f","20-24","Para",378347
2010,"f","20-24","Paraiba",177512
2010,"f","20-24","Parana",455656
2010,"f","20-24","Pernambuco",420394
2010,"f","20-24","Piaui",154604
2010,"f","20-24","Rio De Janeiro",665183
2010,"f","20-24","Rio Grande Do Norte",156576
2010,"f","20-24","Rio Grande Do Sul",439154
2010,"f","20-24","Rondonia",75541
2010,"f","20-24","Roraima",22053
2010,"f","20-24","Santa Catarina",281958
2010,"f","20-24","Sao Paulo",1826537
